epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.968,4.42988,4.89522,4.18648,0,0,0,0,4.83808,5.68533,4.17912,0.000467977,0.000467977,0.000467977
2,255.096,3.69947,3.31108,3.37055,0.00234,0.11905,0.00336,0.00048,4.20291,5.11028,3.87601,0.000897567,0.000897567,0.000897567
3,379.617,2.75389,2.34973,2.70782,0.54789,0.51449,0.34304,0.14271,2.31276,2.81372,3.9457,0.00128,0.00128,0.00128
4,507.07,2.10106,1.84686,2.29633,0.73783,0.63827,0.71288,0.38878,1.74083,1.62642,2.24982,0.00121679,0.00121679,0.00121679
5,629.186,1.79403,1.50765,1.99924,0.74607,0.64529,0.75913,0.41335,1.64451,1.63295,2.00518,0.00114606,0.00114606,0.00114606
6,750.399,1.66332,1.37438,1.83208,0.73417,0.79679,0.79518,0.44427,1.4981,1.46643,1.86993,0.00107532,0.00107532,0.00107532
7,881.121,1.55756,1.24718,1.74195,0.82718,0.76136,0.82352,0.46956,1.45828,1.1727,1.80005,0.00100459,0.00100459,0.00100459
8,1045.84,1.50548,1.18594,1.62873,0.86506,0.75815,0.83871,0.54379,1.30265,1.18706,1.66817,0.000933851,0.000933851,0.000933851
9,1216.91,1.45634,1.09995,1.65694,0.95041,0.76034,0.87463,0.61042,1.25711,0.97084,1.62965,0.000863116,0.000863116,0.000863116
10,1372.19,1.35656,1.04459,1.57139,0.87357,0.77401,0.87648,0.61716,1.15663,0.94892,1.52798,0.00079238,0.00079238,0.00079238
11,1513.31,1.23759,1.04835,1.55489,0.89372,0.81137,0.90745,0.645,1.21298,0.93147,1.51443,0.000721645,0.000721645,0.000721645
12,1678.87,1.14769,0.96579,1.46902,0.92266,0.82116,0.91773,0.63451,1.05004,0.88377,1.44031,0.000650909,0.000650909,0.000650909
13,1812.47,1.12722,0.9532,1.44035,0.97676,0.87664,0.92924,0.66603,1.01639,0.7625,1.44574,0.000580174,0.000580174,0.000580174
14,1935.95,1.06412,0.86968,1.4278,0.84809,0.8919,0.92183,0.65861,1.03273,0.81241,1.37645,0.000509438,0.000509438,0.000509438
15,2068.44,0.99303,0.84013,1.39323,0.94091,0.91998,0.94494,0.70109,0.91597,0.69966,1.36629,0.000438703,0.000438703,0.000438703
16,2203.36,0.9658,0.79879,1.34595,0.94543,0.91871,0.94376,0.70304,0.95721,0.69246,1.38286,0.000367967,0.000367967,0.000367967
17,2345.11,0.9461,0.76264,1.36023,0.92847,0.91477,0.94425,0.70459,0.9511,0.70421,1.37494,0.000297232,0.000297232,0.000297232
18,2473.93,0.90963,0.74652,1.30402,0.92895,0.93239,0.94404,0.7502,0.80707,0.66052,1.29968,0.000226497,0.000226497,0.000226497
19,2616.47,0.8739,0.71998,1.33477,0.91509,0.9361,0.94971,0.75459,0.81158,0.6402,1.30909,0.000155761,0.000155761,0.000155761
20,2758.28,0.83057,0.70052,1.32592,0.94795,0.92209,0.95217,0.76696,0.74542,0.60021,1.26272,8.50255e-05,8.50255e-05,8.50255e-05
