epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9472,4.78165,5.3702,4.36592,0,0,0,0,4.46026,5.08706,4.15533,0.000448314,0.000448314,0.000448314
2,82.0175,4.38826,4.64142,4.10965,0,0,0,0,4.47893,5.09352,4.16298,0.000878877,0.000878877,0.000878877
3,120.499,4.27225,4.28372,3.88287,0,0,0,0,4.53381,5.11256,4.19828,0.00126228,0.00126228,0.00126228
4,158.632,3.99436,3.48847,3.49569,0,0,0,0,4.62383,5.14222,4.274,0.00121679,0.00121679,0.00121679
5,201.321,3.7244,2.96469,3.34804,0,0,0,0,4.40593,5.05003,4.15943,0.00114606,0.00114606,0.00114606
6,245.596,3.54577,2.93978,3.22202,0,0,0,0,4.13898,4.91748,4.05128,0.00107532,0.00107532,0.00107532
7,287.937,3.29714,2.51971,2.89853,0.00462,0.3293,0.11664,0.03545,3.44575,3.65901,3.38232,0.00100459,0.00100459,0.00100459
8,323.346,2.89921,2.36702,2.84307,0.8524,0.27224,0.31772,0.09587,3.14709,2.76803,3.07468,0.000933851,0.000933851,0.000933851
9,357.538,2.69265,2.02559,2.60669,0.59239,0.3243,0.36495,0.10124,2.92969,2.76718,3.04983,0.000863116,0.000863116,0.000863116
10,391.082,2.49539,2.12378,2.61032,0.61869,0.44002,0.47431,0.20064,2.44796,2.14509,2.77296,0.00079238,0.00079238,0.00079238
11,431.109,2.40011,2.48019,2.55073,0.65012,0.32955,0.43288,0.15106,2.7278,2.15815,2.72582,0.000721645,0.000721645,0.000721645
12,469.623,2.4873,2.15142,2.59301,0.37669,0.70077,0.48832,0.22173,2.11644,1.85832,2.50504,0.000650909,0.000650909,0.000650909
13,511.414,2.17273,2.27729,2.4895,0.39222,0.7198,0.59997,0.22163,2.21009,1.87315,2.56228,0.000580174,0.000580174,0.000580174
14,552.413,2.13574,1.98759,2.39141,0.66346,0.55678,0.56336,0.27212,2.05352,1.77494,2.48223,0.000509438,0.000509438,0.000509438
15,595.734,2.00226,1.78906,2.3596,0.66753,0.4958,0.58276,0.30976,1.90514,1.6731,2.41119,0.000438703,0.000438703,0.000438703
16,636.04,1.81971,1.80015,2.21754,0.69585,0.57657,0.6317,0.33942,1.94885,1.49151,2.34011,0.000367967,0.000367967,0.000367967
17,675.41,1.76375,1.69425,2.12729,0.64602,0.74103,0.71928,0.37352,1.86817,1.48161,2.28603,0.000297232,0.000297232,0.000297232
18,715.781,1.76176,1.66426,2.15087,0.82879,0.66871,0.7285,0.40949,1.75938,1.38423,2.19424,0.000226497,0.000226497,0.000226497
19,756.86,1.74955,1.66036,2.14062,0.716,0.77199,0.734,0.423,1.6937,1.37585,2.16466,0.000155761,0.000155761,0.000155761
20,803.198,1.69476,1.654,2.07446,0.8032,0.73077,0.78121,0.43491,1.64175,1.36614,2.15799,8.50255e-05,8.50255e-05,8.50255e-05
